Date,Daily_Quantity,Forecast,Rolling_MAPE_7d,Alert_Level,Recommended_Action
2011-09-26,15323,24274.85714285714,0.5842104772470887,HIGH,Immediate manual review and forecast override
2011-09-27,21259,24274.85714285714,0.36303654166830523,MEDIUM,Monitor closely and prepare intervention
2011-09-28,25559,24274.85714285714,0.25877179329059935,LOW,"Observe, no immediate action"
2011-09-29,27473,24274.85714285714,0.22318144440323923,LOW,"Observe, no immediate action"
2011-10-01,0,24274.85714285714,4045.971020056157,HIGH,Immediate manual review and forecast override
2011-10-02,8385,24274.85714285714,3468.2458791407807,HIGH,Immediate manual review and forecast override
2011-10-03,25985,24274.85714285714,3468.1718223146227,HIGH,Immediate manual review and forecast override
2011-10-04,25398,24274.85714285714,3468.15787361443,HIGH,Immediate manual review and forecast override
2011-10-05,46286,24274.85714285714,3468.2186313502457,HIGH,Immediate manual review and forecast override
2011-10-06,35433,24274.85714285714,3468.2469881815855,HIGH,Immediate manual review and forecast override
2011-10-07,30968,24274.85714285714,3468.266970929416,HIGH,Immediate manual review and forecast override
2011-10-08,0,24274.85714285714,3468.266970929416,HIGH,Immediate manual review and forecast override
2011-10-09,7556,24274.85714285714,3468.3123460881284,HIGH,Immediate manual review and forecast override
2011-10-10,26185,24274.85714285714,3468.3133654146845,HIGH,Immediate manual review and forecast override
2011-10-11,28489,24274.85714285714,3468.328179707473,HIGH,Immediate manual review and forecast override
2011-10-12,17686,24274.85714285714,3468.3134654272258,HIGH,Immediate manual review and forecast override
2011-10-13,18771,24274.85714285714,3468.3103657750216,HIGH,Immediate manual review and forecast override
2011-10-14,18160,24274.85714285714,3468.327592956637,HIGH,Immediate manual review and forecast override
2011-10-15,0,24274.85714285714,3468.327592956637,HIGH,Immediate manual review and forecast override
2011-10-16,8770,24274.85714285714,3468.26406194266,HIGH,Immediate manual review and forecast override
2011-10-17,31404,24274.85714285714,3468.286071352254,HIGH,Immediate manual review and forecast override
2011-10-18,29320,24274.85714285714,3468.2895213474903,HIGH,Immediate manual review and forecast override
2011-10-19,19259,24274.85714285714,3468.27350645559,HIGH,Immediate manual review and forecast override
2011-10-20,40919,24274.85714285714,3468.289727548134,HIGH,Immediate manual review and forecast override
2011-10-21,24792,24274.85714285714,3468.2446044131407,HIGH,Immediate manual review and forecast override
2011-10-22,0,24274.85714285714,3468.2446044131407,HIGH,Immediate manual review and forecast override
2011-10-23,7073,24274.85714285714,3468.3394762334806,HIGH,Immediate manual review and forecast override
2011-10-24,26190,24274.85714285714,3468.317492107584,HIGH,Immediate manual review and forecast override
2011-10-25,26954,24274.85714285714,3468.307109984027,HIGH,Immediate manual review and forecast override
2011-10-26,20821,24274.85714285714,3468.2936015702535,HIGH,Immediate manual review and forecast override
2011-10-27,32900,24274.85714285714,3468.272945012736,HIGH,Immediate manual review and forecast override
2011-10-28,24065,24274.85714285714,3468.2712108936544,HIGH,Immediate manual review and forecast override
2011-10-29,0,24274.85714285714,3468.2712108936544,HIGH,Immediate manual review and forecast override
2011-10-30,20068,24274.85714285714,3467.9537229951834,HIGH,Immediate manual review and forecast override
2011-10-31,21564,24274.85714285714,3467.9612354523074,HIGH,Immediate manual review and forecast override
2011-11-01,16593,24274.85714285714,3468.0131727159637,HIGH,Immediate manual review and forecast override
2011-11-02,28567,24274.85714285714,3468.0109391363476,HIGH,Immediate manual review and forecast override
2011-11-03,34387,24274.85714285714,3468.0154971899137,HIGH,Immediate manual review and forecast override
2011-11-04,35336,24274.85714285714,3468.0589696411175,HIGH,Immediate manual review and forecast override
2011-11-05,0,24274.85714285714,3468.0589696411175,HIGH,Immediate manual review and forecast override
2011-11-06,23309,24274.85714285714,3468.0349420662264,HIGH,Immediate manual review and forecast override
2011-11-07,31380,24274.85714285714,3468.049329278714,HIGH,Immediate manual review and forecast override
2011-11-08,26454,24274.85714285714,3467.9949602922184,HIGH,Immediate manual review and forecast override
2011-11-09,38269,24274.85714285714,3468.0257360081278,HIGH,Immediate manual review and forecast override
2011-11-10,38192,24274.85714285714,3468.0357832443597,HIGH,Immediate manual review and forecast override
2011-11-11,29062,24274.85714285714,3468.014596692891,HIGH,Immediate manual review and forecast override
2011-11-12,0,24274.85714285714,3468.014596692891,HIGH,Immediate manual review and forecast override
2011-11-13,20840,24274.85714285714,3468.032222880007,HIGH,Immediate manual review and forecast override
2011-11-14,47353,24274.85714285714,3468.0695002012826,HIGH,Immediate manual review and forecast override
2011-11-15,30383,24274.85714285714,3468.086452112482,HIGH,Immediate manual review and forecast override
2011-11-16,33101,24274.85714285714,3468.0723041819224,HIGH,Immediate manual review and forecast override
2011-11-17,31751,24274.85714285714,3468.05388449975,HIGH,Immediate manual review and forecast override
2011-11-18,23996,24274.85714285714,3468.0320129649667,HIGH,Immediate manual review and forecast override
2011-11-19,0,24274.85714285714,3468.0320129649667,HIGH,Immediate manual review and forecast override
2011-11-20,19416,24274.85714285714,3468.0442172166154,HIGH,Immediate manual review and forecast override
2011-11-21,25778,24274.85714285714,3467.9829239554088,HIGH,Immediate manual review and forecast override
2011-11-22,35486,24274.85714285714,3467.999337278149,HIGH,Immediate manual review and forecast override
2011-11-23,39420,24274.85714285714,3468.0161310892513,HIGH,Immediate manual review and forecast override
2011-11-24,26507,24274.85714285714,3467.9945236480576,HIGH,Immediate manual review and forecast override
2011-11-25,18997,24274.85714285714,3468.0325529105826,HIGH,Immediate manual review and forecast override
2011-11-26,0,24274.85714285714,3468.0325529105826,HIGH,Immediate manual review and forecast override
2011-11-27,11172,24274.85714285714,3468.164350035211,HIGH,Immediate manual review and forecast override
2011-11-28,29466,24274.85714285714,3468.181187595015,HIGH,Immediate manual review and forecast override
2011-11-29,30904,24274.85714285714,3468.16669847585,HIGH,Immediate manual review and forecast override
2011-11-30,28388,24274.85714285714,3468.132511437479,HIGH,Immediate manual review and forecast override
2011-12-01,27051,24274.85714285714,3468.1351423938117,HIGH,Immediate manual review and forecast override
